32	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594960095	1783594968689	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.11],"fluo":[0.09760,0.09675,0.09673,0.09711,0.09672,0.09673,0.09724,0.09781,0.09675],"s_630":[597,592,592,594,592,592,595,599,592],"r_630":[6117,6119,6120,6117,6121,6120,6119,6124,6119],"sun":[713,711,712,716,711,715,716,719,718],"leaf":[368,369,370,374,370,366,371,375,368],"timing":[295197695,302185073]}
33	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594969725	1783594978323	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.08],"fluo":[0.09776,0.09768,0.09739,0.09739,0.09703,0.09707,0.09694,0.09544,0.09755],"s_630":[598,598,596,596,594,594,593,584,597],"r_630":[6117,6122,6120,6120,6122,6119,6117,6119,6120],"sun":[721,721,715,718,713,716,713,716,718],"leaf":[379,374,372,371,374,374,373,369,373],"timing":[304837076,311866634]}
34	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594980355	1783594988956	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.01],"fluo":[0.09789,0.09706,0.09701,0.09727,0.09673,0.09706,0.09756,0.09755,0.09655],"s_630":[599,594,594,595,592,594,597,597,591],"r_630":[6119,6120,6123,6117,6120,6120,6119,6120,6121],"sun":[725,719,717,719,720,723,719,724,723],"leaf":[374,373,376,372,369,379,374,376,372],"timing":[315476566,322466271]}
35			STATUS		1783594989142	1783594989142		{"wifi":true,"provisioned":true,"db_online":true,"publish_gate":true,"battery_v":4.200,"input_v":4.980,"system_v":4.220,"input_ma":585,"charge_ma":577,"input_present":true,"charge_status":0,"temperature":25.79,"humidity":45.51,"pressure":101994.9}
36	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594989985	1783594998591	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.03],"fluo":[0.09721,0.09704,0.09704,0.09691,0.09639,0.09670,0.09668,0.09737,0.09673],"s_630":[595,594,594,593,590,592,592,596,592],"r_630":[6121,6121,6121,6119,6121,6122,6123,6121,6120],"sun":[724,729,725,732,733,733,728,725,728],"leaf":[377,376,378,377,375,377,381,373,380],"timing":[325108177,332097996]}
37	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594999625	1783595008225	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[23.96],"fluo":[0.09768,0.09672,0.09636,0.09668,0.09668,0.09704,0.09722,0.09719,0.09685],"s_630":[598,592,590,592,592,594,595,595,593],"r_630":[6122,6121,6123,6123,6123,6121,6120,6122,6123],"sun":[722,728,721,724,724,721,721,723,720],"leaf":[380,375,374,375,373,374,379,376,375],"timing":[334759862,341789152]}
38	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783595010255	1783595018847	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.01],"fluo":[0.09753,0.09717,0.09721,0.09721,0.09668,0.09701,0.09686,0.09717,0.09703],"s_630":[597,595,595,595,592,594,593,595,594],"r_630":[6121,6123,6121,6121,6123,6123,6122,6123,6122],"sun":[723,723,728,725,722,725,723,723,731],"leaf":[383,373,378,375,379,378,374,376,378],"timing":[345388244,352378719]}
39	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783595019875	1783595028481	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.00],"fluo":[0.09734,0.09668,0.09686,0.09670,0.09639,0.09704,0.09685,0.09685,0.09703],"s_630":[596,592,593,592,590,594,593,593,594],"r_630":[6123,6123,6122,6122,6121,6121,6123,6123,6122],"sun":[723,728,727,728,725,727,725,727,731],"leaf":[381,374,375,376,372,376,383,379,381],"timing":[355020265,362009713]}
40	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783595029515	1783595038115	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.03],"fluo":[0.09722,0.09700,0.09685,0.09700,0.09700,0.09703,0.09737,0.09654,0.09655],"s_630":[595,594,593,594,594,594,596,591,591],"r_630":[6120,6124,6123,6124,6124,6122,6121,6122,6121],"sun":[728,733,730,725,723,729,725,731,726],"leaf":[379,381,381,380,381,377,379,377,380],"timing":[364670754,371699996]}
41	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783595040145	1783595048737	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[23.96],"fluo":[0.09814,0.09665,0.09685,0.09732,0.09719,0.09765,0.09700,0.09745,0.09752],"s_630":[601,592,593,596,595,598,594,597,597],"r_630":[6124,6125,6123,6124,6122,6124,6124,6126,6122],"sun":[736,731,735,731,729,734,735,732,729],"leaf":[380,380,380,381,378,377,376,380,376],"timing":[375299083,382289389]}
